TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LQB145,150,22.5,137.533,SILICA,3.1,-137.533
LEN,MG,,01LQB155,150,45,136.815,SILICA,7.6,-136.815
LEN,MG,,01LQB166,150,67.5,135.846,SILICA,13.6,-135.846
LEN,MG,,01LQB178,200,22.5,183.573,SILICA,2.9,-183.573
LEN,MG,,01LQB222,200,45,183.017,SILICA,6.4,-183.017
LEN,MG,,01LQB227,250,22.5,229.613,SILICA,2.7,-229.613
LEN,MG,,01LQB235,250,45,229.137,SILICA,5.7,-229.137
LEN,MG,,01LQB249,300,22.5,275.637,SILICA,2.6,-275.637
LEN,MG,,01LQB259,300,45,275.209,SILICA,5.3,-275.209
LEN,MG,,01LQB277,500,22.5,459.715,SILICA,2.3,-459.715
LEN,MG,,01LQD001,25,22.5,21.265,SILUV,10.2,-21.265
LEN,MG,,01LQD003,50,22.5,45.124,SILUV,5.5,-45.124
LEN,MG,,01LQD005,50,45,42.752,SILUV,19.2,-42.752
LEN,MG,,01LQD007,75,22.5,68.327,SILUV,4.3,-68.327
LEN,MG,,01LQD009,75,45,66.949,SILUV,12.7,-66.949
LEN,MG,,01LQD011,100,22.5,91.429,SILUV,3.7,-91.429
LEN,MG,,01LQD013,100,45,90.396,SILUV,10.1,-90.396
LEN,MG,,01LQD015,150,22.5,137.533,SILUV,3.1,-137.533
LEN,MG,,01LQD017,150,45,136.815,SILUV,7.6,-136.815
LEN,MG,,01LQD019,200,22.5,183.573,SILUV,2.9,-183.573
LEN,MG,,01LQD021,200,45,183.017,SILUV,6.4,-183.017
LEN,MG,,01LQD023,300,22.5,275.637,SILUV,2.6,-275.637
LEN,MG,,01LQD025,300,45,275.209,SILUV,5.3,-275.209
LEN,MG,,01LQD027,500,22.5,459.715,SILUV,2.3,-459.715
LEN,MG,,01LQD029,500,45,459.384,SILUV,4.4,-459.384
LEN,MG,,01LQD033,1000,22.5,919.809,SILUV,2.2,-919.809
LEN,MG,,01LQD035,1000,45,919.573,SILUV,3.7,-919.573
LEN,MG,,01LQF005,10,4.5,4.601,SILICA,2.7,0
LEN,MG,,01LQF011,15,6.75,6.901,SILICA,3.1,0
LEN,MG,,01LQF016,25,9,11.502,SILICA,3.1,0
LEN,MG,,01LQF023,25,13.5,11.502,SILICA,4.8,0
LEN,MG,,01LQF028,50,22.5,23.004,SILICA,5.7,0
LEN,MG,,01LQF036,50,36,23.004,SILICA,13.7,0
LEN,MG,,01LQF045,75,22.5,34.506,SILICA,4.4,0
LEN,MG,,01LQF055,75,36,34.506,SILICA,8.4,0
LEN,MG,,01LQF066,75,45,34.506,SILICA,13.8,0
LEN,MG,,01LQF078,100,22.5,46.008,SILICA,3.7,0
LEN,MG,,01LQF111,100,36,46.008,SILICA,6.6,0
LEN,MG,,01LQF116,100,45,46.008,SILICA,10.4,0
LEN,MG,,01LQF136,150,22.5,69.012,SILICA,3.1,0
LEN,MG,,01LQF145,150,45,69.012,SILICA,7.7,0
LEN,MG,,01LQF222,200,22.5,92.016,SILICA,2.9,0
LEN,MG,,01LQF227,200,45,92.016,SILICA,6.5,0
LEN,MG,,01LQF235,250,22.5,115.02,SILICA,2.7,0
LEN,MG,,01LQF244,250,45,115.02,SILICA,5.8,0
LEN,MG,,01LQF249,250,67.5,115.02,SILICA,9.3,0
LEN,MG,,01LQF259,300,22.5,138.023,SILICA,2.6,0
LEN,MG,,01LQF277,300,45,138.023,SILICA,5.3,0
LEN,MG,,01LQF299,500,22.5,230.039,SILICA,2.3,0
